"date","lon","lat","id","pt","sst","sf","at","af"
1997-12-03 00:00:00,-58,44.8,"SHIP",5,5.4,1,3,1
1997-12-03 05:00:00,-58.4,45.4,"DGNB",5,5,1,3,1
1997-12-03 06:00:00,-57.9,44.8,"SHIP",5,5.5,1,3.8,1
1997-12-03 08:00:00,-59.5,45.2,"DGNB",5,5.3,1,3.2,1
1997-12-03 12:00:00,-57.8,44.8,"SHIP",5,5.3,1,3.4,1
1997-12-03 12:00:00,-56.1,44.1,"SKUN",5,5.8,1,4.3,1
1997-12-03 18:00:00,-57.5,44.9,"SHIP",5,5.3,1,3.9,1
1997-12-04 12:00:00,-59.7,45.3,"SFMN",5,NA,15,3,1
1997-12-04 18:00:00,-56.3,44.4,"WQVY",5,NA,15,6.5,1
1997-12-05 06:00:00,-56.5,44.8,"XCUY",5,NA,15,3,1
1997-12-07 12:00:00,-59.9,45.9,"CG2260",5,NA,15,4,1
1997-12-07 15:00:00,-59.9,45.9,"CG2260",5,NA,15,4,1
1997-12-07 18:00:00,-59.9,45.9,"CG2260",5,NA,15,3,1
1997-12-08 06:00:00,-59.1,45.5,"VCRJ",5,8,1,3.5,1
1997-12-08 12:00:00,-58.3,45.1,"WPVD",5,6.1,1,5.5,1
1997-12-09 06:00:00,-56.8,45,"SHIP",5,5,1,2.8,1
1997-12-09 06:00:00,-56.6,44,"OUSH2",5,5,1,3.2,1
1997-12-13 12:00:00,-56.5,43.6,"C6NB",5,12.5,1,2.5,1
1997-12-15 18:00:00,-56.7,44.7,"WPKS",5,4.2,1,-1.1,1
1997-12-15 18:00:00,-56.4,44.2,"KRHX",5,6.7,1,2.2,1
1997-12-15 18:00:00,-56.1,44.3,"C6JQ9",5,NA,15,-2.6,1
1997-12-15 20:00:00,-56.9,44,"KRHX",5,7.5,1,2.8,1
1997-12-15 21:00:00,-56.9,44,"KRHX",5,7.5,1,2.8,1
1997-12-16 00:00:00,-57.9,44.3,"WPKS",5,4.2,1,-2.2,1
1997-12-16 21:00:00,-58.3,45.2,"DEDI",5,4,1,-2.5,1
1997-12-18 10:00:00,-59,46.4,"VCRZ",5,NA,15,5,1
1997-12-01 18:00:00,-59.1,41.2,"UCNN",5,11,1,17.4,1
1997-12-04 18:00:00,-58.8,41.1,"3EGS6",5,19,1,11.5,1
1997-12-08 18:00:00,-59.3,41.3,"FNXB",5,19,1,6.6,1
1997-12-09 00:00:00,-59.3,41.1,"PFEZ",5,NA,15,6.2,1
1997-12-14 12:00:00,-59,40.5,"DLBB",5,18.7,1,13.9,1
1997-12-14 18:00:00,-59.9,41.7,"VRUN",5,17,1,7.5,1
1997-12-14 18:00:00,-59,40.7,"4XFQ",5,20,1,15,1
1997-12-16 20:00:00,-58.9,40.1,"9VBK",5,18.4,1,5.9,1
1997-12-16 21:00:00,-58.5,40.2,"9VBK",5,18.9,1,6.6,1
1997-12-17 06:00:00,-59.6,40.8,"WPVD",5,21.3,1,14,1
1997-12-17 09:00:00,-58.4,41,"WPVD",5,15,1,13.8,1
1997-12-02 06:00:00,-59.9,44.5,"SHIP",5,5.6,1,6.3,1
1997-12-02 12:00:00,-58.4,44.5,"SHIP",5,5.6,1,4.5,1
1997-12-03 00:00:00,-58.5,44.4,"4XGT",5,6.2,1,3,1
1997-12-03 09:00:00,-59.8,45.1,"DGNB",5,5.4,1,3.5,1
1997-12-04 06:00:00,-58.8,44.2,"ZCAH2",5,5.4,1,4.6,1
1997-12-04 12:00:00,-58.6,44.1,"WQVY",5,NA,15,5,1
1997-12-07 00:00:00,-60,45,"SFRZ",5,7,1,6,1
1997-12-09 18:00:00,-58.1,44.2,"ZCBH9",5,4.6,1,3.6,1
1997-12-11 12:00:00,-58.9,44.5,"VSBM",5,2,1,1.5,1
1997-12-13 14:00:00,-59.7,45.1,"S6IG",5,3.7,1,-0.2,1
1997-12-17 00:00:00,-59.6,45,"DEDI",5,3.8,1,-0.6,1
1997-12-17 01:00:00,-60,45,"DEDI",5,3.7,1,0.2,1
1997-12-18 06:00:00,-58.5,44.2,"V7AZ8",5,3,1,6,1
1997-12-02 00:00:00,-58.7,41.8,"XCKX",5,18,1,20,1
1997-12-02 06:00:00,-59.3,44,"UCNN",5,6,1,6.8,1
1997-12-02 12:00:00,-58.1,42.7,"OZFC2",5,15.3,1,9.8,1
1997-12-03 12:00:00,-59,43.8,"ZCBF6",5,5.4,1,4.7,1
1997-12-03 12:00:00,-57.6,42.2,"KRPB",5,11,1,8.9,1
1997-12-03 18:00:00,-59,41.4,"OXEH2",5,6,4,4.5,1
1997-12-03 18:00:00,-58.5,41.6,"KRPB",5,21.4,1,9.4,1
1997-12-04 00:00:00,-57.2,42.7,"DQEX",5,12.6,1,6,1
1997-12-04 06:00:00,-58.1,42.9,"DQEX",5,12.2,1,6,1
1997-12-04 12:00:00,-59.4,43.2,"DQEX",5,7.5,1,5,1
1997-12-04 12:00:00,-58.4,42.8,"ZCAH2",5,9,1,5.9,1
1997-12-04 12:00:00,-56.8,43.1,"4XFO",5,7,1,5,1
1997-12-04 18:00:00,-58.5,43.3,"4XFO",5,6,1,5,1
1997-12-05 06:00:00,-60,43.5,"V7AM9",5,6,1,5,1
1997-12-06 12:00:00,-57,42.5,"P3DM3",5,16,1,16,1
1997-12-06 18:00:00,-57.6,43.7,"P3DM3",5,NA,15,NA,15
1997-12-07 18:00:00,-59,42.7,"ELOC8",5,5,1,6.5,1
1997-12-07 18:00:00,-57.8,43.5,"4XGS",5,5.9,1,8,1
1997-12-08 18:00:00,-57.9,41.4,"PFEZ",5,14,1,9.5,1
1997-12-09 18:00:00,-58.6,42.7,"8POG",5,5,1,5.5,1
1997-12-10 00:00:00,-59.8,43.5,"ZCBH9",5,3.5,1,3,1
1997-12-10 18:00:00,-58.7,43.2,"ZCBF2",5,4.8,1,4,1
1997-12-11 00:00:00,-58.2,41.8,"VSBM",5,10,1,9,1
1997-12-11 06:00:00,-58.5,43.2,"VSBM",5,4.8,1,2.7,1
1997-12-11 18:00:00,-59.5,43.5,"ZCBF",5,5,1,1.1,1
1997-12-12 06:00:00,-59.4,42.2,"9HPE5",5,6,1,1.5,1
1997-12-13 12:00:00,-59.3,43.2,"C6OX2",5,0.6,2,4.4,1
1997-12-13 18:00:00,-58.2,43.3,"C6NB",5,5.6,1,2.5,1
1997-12-13 18:00:00,-57.8,42.9,"C6OX2",5,0.9,2,4.4,1
1997-12-14 00:00:00,-59.8,42.9,"C6NB",5,6,1,2.5,1
1997-12-16 03:00:00,-58.4,43.4,"KRHX",5,6.7,1,-5,2
1997-12-16 06:00:00,-59.5,43.5,"WPKS",5,4.5,1,-5,2
1997-12-16 06:00:00,-59.3,43.1,"KRHX",5,6.9,1,-6,2
1997-12-16 06:00:00,-57.1,43.5,"C6JQ9",5,NA,15,-4.1,2
1997-12-01 06:00:00,-58.8,47,"VODB",5,NA,15,3,1
1997-12-02 06:00:00,-59.9,47.2,"VGLN",5,4.4,1,5,1
1997-12-02 23:00:00,-56.8,45.8,"DGNB",5,5,1,3.6,1
1997-12-03 00:00:00,-57,45.7,"DGNB",5,5.7,1,3.5,1
1997-12-03 01:00:00,-57.2,45.7,"DGNB",5,5.6,1,3.4,1
1997-12-03 02:00:00,-57.4,45.6,"DGNB",5,5.8,1,2.2,1
1997-12-04 18:00:00,-57,45.7,"SFMN",5,NA,15,5.2,1
1997-12-05 12:00:00,-57.2,45.8,"CGDG",5,4.2,1,3.7,1
1997-12-05 12:00:00,-57,45.7,"SKPE",5,4.2,1,3.3,1
1997-12-05 12:00:00,-55.9,44.9,"9HPE5",5,5.5,1,3,1
1997-12-05 19:00:00,-59.4,47,"VOCZ",5,NA,15,5,1
